model,horizon,mae,rmse,smape,direction_accuracy
linear_trend,11,0.2271796632346443,0.2795157887856328,0.6618436744145214,0.4659090909090909
linear_trend,12,0.23169130721362308,0.28348295452937033,0.6793585078136845,0.4583333333333333
seasonal_naive,1,0.19488075748085976,0.22021210551281722,0.5252457604004908,0.375
seasonal_naive,2,0.19380556233227253,0.22763898134462193,0.5165236474070123,0.3125
seasonal_naive,3,0.2069778355459372,0.25368841781500046,0.5221347122843745,0.3333333333333333
seasonal_naive,4,0.20302265603095293,0.24780938160074117,0.5173046731628178,0.3125
seasonal_naive,5,0.19133350104093552,0.23638124406526326,0.505352726628489,0.35
seasonal_naive,6,0.2508441259463628,0.3122324175427798,0.7544599788295635,0.375
seasonal_naive,7,0.28594816263232914,0.34654340610736467,0.9323936616231165,0.375
seasonal_naive,8,0.31317904917523265,0.37087664977648127,1.0658439390996863,0.390625
seasonal_naive,9,0.28585603046748376,0.3506223767628858,0.9636956641838247,0.3888888888888889
seasonal_naive,10,0.26482546441257,0.334001239185962,0.8824349923026265,0.4
seasonal_naive,11,0.24411172927780586,0.3186796216967993,0.8094001980881464,0.375
seasonal_naive,12,0.23004192765802145,0.30651507337185574,0.7554535656095817,0.375
default_patchtst,1,0.0676296316087246,0.0888373033741288,0.13975752566561267,0.375
default_patchtst,2,0.061236197128891945,0.07719310977789721,0.1268481100821533,0.3125
default_patchtst,3,0.07532572373747826,0.09417967263328153,0.1549376365579229,0.2916666666666667
default_patchtst,4,0.06381945684552193,0.08367559535102778,0.1321600082028456,0.34375
default_patchtst,5,0.06276646479964257,0.08137903913571648,0.1295783584311079,0.35
default_patchtst,6,0.06818911122779052,0.08919308138197102,0.13970089065919786,0.3125
default_patchtst,7,0.06634402008993286,0.08656717326367862,0.13601261316854277,0.30357142857142855
default_patchtst,8,0.06408042227849364,0.0849094261644254,0.13147428013318496,0.34375
default_patchtst,9,0.06233336197005378,0.08298584505618055,0.1288672507257009,0.3472222222222222
default_patchtst,10,0.06485426612198353,0.0855160830928791,0.13342695389263354,0.325
default_patchtst,11,0.06236972253430973,0.08296049992120878,0.12833876528757918,0.32954545454545453
default_patchtst,12,0.06398999566833179,0.08487707177452877,0.13248657415537987,0.3333333333333333
tuned_patchtst,1,0.10864976979792118,0.12796628507098062,0.26182602275128125,0.375
tuned_patchtst,2,0.11509580351412296,0.13725353828940315,0.29454603994516776,0.5
tuned_patchtst,3,0.11367569987972577,0.1408922309164259,0.2761064144650474,0.4583333333333333
tuned_patchtst,4,0.13788335002027452,0.16546484754398905,0.3538019992906857,0.4375
tuned_patchtst,5,0.15302707068622112,0.17799832602920784,0.3972827905262137,0.45
tuned_patchtst,6,0.15636629393945137,0.1812105102136477,0.4002076932867438,0.4583333333333333
tuned_patchtst,7,0.15674480609595776,0.18010710740907795,0.3991686532662274,0.44642857142857145
tuned_patchtst,8,0.1627766266465187,0.18463811321244272,0.4155283278245891,0.453125
tuned_patchtst,9,0.16448027909629875,0.184473830308265,0.4213599462396515,0.4583333333333333
tuned_patchtst,10,0.15689969919621943,0.1785521712870768,0.39941357565708724,0.4625
tuned_patchtst,11,0.1616038972173225,0.1823923233460631,0.4191160551071567,0.48863636363636365
tuned_patchtst,12,0.1743150814436376,0.19936971528198888,0.4582470911315451,0.4791666666666667
sarima,1,0.08150111511349678,0.10450741360589506,0.16262953536757974,0.25
sarima,2,0.08123045228421688,0.10099743691032248,0.15792377080518305,0.3125
sarima,3,0.09549559528628986,0.11393362040826066,0.1821385435421651,0.3333333333333333
sarima,4,0.09944117814302444,0.1153825732152164,0.18778436210317717,0.3125
sarima,5,0.11169619262218475,0.13117432514044544,0.20879625985736627,0.275
sarima,6,0.12537922958532968,0.1482164903190581,0.2303059855617,0.2916666666666667
sarima,7,0.1334079253886427,0.15994437070561235,0.24134780105514628,0.2857142857142857
sarima,8,0.1450929706916213,0.17370061130865586,0.26047278785967076,0.28125
sarima,9,0.15835705937610733,0.19019239546114036,0.2831798531719616,0.2638888888888889
sarima,10,0.17167918514460326,0.20842754032076627,0.3035855530217572,0.2625
sarima,11,0.18218219805170188,0.22247165645743527,0.32070499223378407,0.26136363636363635
sarima,12,0.1898496993817389,0.22998523655290004,0.3333635455307244,0.2604166666666667
