candidate_id,experiment_id,stage,seed,context_length,horizon,patch_len,stride,d_model,n_heads,num_layers,dropout,batch_size,epochs,learning_rate,weight_decay,validation_mae,validation_rmse,validation_smape,validation_direction_accuracy,best_epoch,train_seconds,status
P002,P002-S44,confirmation,44,12,12,3,1,64,4,2,0.1,64,100,0.001,0.0001,0.1722821324171188,0.2598586729118247,0.7393435387472133,0.5625,23,3.1923856000066735,ok
P002,P002-S55,confirmation,55,12,12,3,1,64,4,2,0.1,64,100,0.001,0.0001,0.17660615657223389,0.2653605440300401,0.7342957640522488,0.5104166666666666,25,3.6940254000073764,ok
P031,P031-S11,confirmation,11,12,12,3,1,128,4,2,0.1,64,100,0.001,0.0001,0.17282328898242363,0.2628887640376261,0.6953778278167557,0.53125,21,4.570082500024,ok
P031,P031-S22,confirmation,22,12,12,3,1,128,4,2,0.1,64,100,0.001,0.0001,0.1696327285414251,0.25779193743051126,0.6792649658783656,0.5625,32,6.156143800006248,ok
P031,P031-S33,confirmation,33,12,12,3,1,128,4,2,0.1,64,100,0.001,0.0001,0.17318248731316999,0.2604713831493783,0.7630960816857058,0.4895833333333333,12,3.2883957999874838,ok
P031,P031-S44,confirmation,44,12,12,3,1,128,4,2,0.1,64,100,0.001,0.0001,0.17093976779142395,0.26106835614358787,0.6482741278167642,0.53125,45,8.162424100009957,ok
P031,P031-S55,confirmation,55,12,12,3,1,128,4,2,0.1,64,100,0.001,0.0001,0.1777192740313088,0.27125826214058885,0.7015277962736572,0.5208333333333334,4,2.1507294999901205,ok
P010,P010-S11,confirmation,11,18,12,3,1,64,4,2,0.1,64,100,0.001,0.0001,0.17557756596943364,0.2710603518617033,0.6368361055978239,0.5208333333333334,1,1.5237479000061285,ok
P010,P010-S22,confirmation,22,18,12,3,1,64,4,2,0.1,64,100,0.001,0.0001,0.17657712868337208,0.2695014561613934,0.6623035994382134,0.53125,1,1.3731563999899663,ok
P010,P010-S33,confirmation,33,18,12,3,1,64,4,2,0.1,64,100,0.001,0.0001,0.1766576225636527,0.2682122592553086,0.6829086251719328,0.5208333333333334,7,2.1365781000058632,ok
