resource_id,title,subject,institution,learning_product,level,duration_raw,hours_estimate,skills_raw,skills_list,skill_count,rating,reviews
coursera_0256,RPA Basics and Introduction to UiPath,Computer Science,UiPath,Course,beginner,1 - 4 Weeks,20,"Robotic Process Automation, Automation, Software Development Tools, Integrated Development Environments, User Interface (UI), Software Installation, Version Control, Debugging","['Robotic Process Automation', 'Automation', 'Software Development Tools', 'Integrated Development Environments', 'User Interface (UI)', 'Software Installation', 'Version Control', 'Debugging']",8,4.7,353
coursera_0257,Building AI Powered Chatbots Without Programming,Computer Science,IBM,Course,beginner,1 - 3 Months,40,"ChatGPT, Application Deployment, IBM Cloud, Artificial Intelligence, Self Service Technologies, Information Architecture, Business Process Automation, WordPress, Dashboard, Customer Service, Natural Language Processing","['ChatGPT', 'Application Deployment', 'IBM Cloud', 'Artificial Intelligence', 'Self Service Technologies', 'Information Architecture', 'Business Process Automation', 'WordPress', 'Dashboard', 'Customer Service', 'Natural Language Processing']",11,4.7,3400
coursera_0258,Front-End Developer Capstone ,Computer Science,Meta,Course,intermediate,1 - 4 Weeks,20,"Responsive Web Design, Front-End Web Development, Git (Version Control System), Web Content Accessibility Guidelines, User Interface and User Experience (UI/UX) Design, HTML and CSS, React.js, Version Control, Usability, Web Design, Usability Testing, Web Applications, Web Development, Data Validation","['Responsive Web Design', 'Front-End Web Development', 'Git (Version Control System)', 'Web Content Accessibility Guidelines', 'User Interface and User Experience (UI/UX) Design', 'HTML and CSS', 'React.js', 'Version Control', 'Usability', 'Web Design', 'Usability Testing', 'Web Applications', 'Web Development', 'Data Validation']",14,4.6,396
coursera_0259,Django Web Framework ,Computer Science,Meta,Course,beginner,1 - 3 Months,40,"Django (Web Framework), Web Development, Web Servers, Web Applications, Data Modeling, MySQL, Application Security, Database Development, Object-Relational Mapping, Application Frameworks, Database Management, HTML and CSS, Restful API, Debugging","['Django (Web Framework)', 'Web Development', 'Web Servers', 'Web Applications', 'Data Modeling', 'MySQL', 'Application Security', 'Database Development', 'Object-Relational Mapping', 'Application Frameworks', 'Database Management', 'HTML and CSS', 'Restful API', 'Debugging']",14,4.7,571
coursera_0260,Cloud Security Risks: Identify and Protect Against Threats,Computer Science,Google Cloud,Course,beginner,1 - 4 Weeks,20,"Cloud Security, Threat Management, Vulnerability Management, Identity and Access Management, Data Security, Cloud-Native Computing, Infrastructure as Code (IaC), Authentications, Cloud Computing, Multi-Factor Authentication, Data Governance, Personally Identifiable Information, Authorization (Computing), Role-Based Access Control (RBAC), Containerization","['Cloud Security', 'Threat Management', 'Vulnerability Management', 'Identity and Access Management', 'Data Security', 'Cloud-Native Computing', 'Infrastructure as Code (IaC)', 'Authentications', 'Cloud Computing', 'Multi-Factor Authentication', 'Data Governance', 'Personally Identifiable Information', 'Authorization (Computing)', 'Role-Based Access Control (RBAC)', 'Containerization']",15,4.5,28
coursera_0261,Document Design,Computer Science,Adobe,Course,mixed,1 - 4 Weeks,20,"Adobe Acrobat, Document Management, Workflow Management, File Management, Presentations, Client Services, Marketing Design, Version Control, Branding, Project Scoping, Constructive Feedback","['Adobe Acrobat', 'Document Management', 'Workflow Management', 'File Management', 'Presentations', 'Client Services', 'Marketing Design', 'Version Control', 'Branding', 'Project Scoping', 'Constructive Feedback']",11,4.6,7700
coursera_0262,Introduction to Software Product Management,Computer Science,University of Alberta,Course,mixed,1 - 4 Weeks,20,"Agile Software Development, Software Development, Requirements Management, Product Management, Application Lifecycle Management, Functional Requirement, Systems Development Life Cycle, Project Planning, Project Schedules, Process Development, Project Management","['Agile Software Development', 'Software Development', 'Requirements Management', 'Product Management', 'Application Lifecycle Management', 'Functional Requirement', 'Systems Development Life Cycle', 'Project Planning', 'Project Schedules', 'Process Development', 'Project Management']",11,4.4,2300
coursera_0263,Mathematical Thinking in Computer Science,Computer Science,University of California San Diego,Course,beginner,1 - 3 Months,40,"Logical Reasoning, Computational Logic, Deductive Reasoning, Computational Thinking, Theoretical Computer Science, Mathematical Theory & Analysis, Combinatorics, Algorithms, Python Programming, Computer Programming, Computer Science, Advanced Mathematics","['Logical Reasoning', 'Computational Logic', 'Deductive Reasoning', 'Computational Thinking', 'Theoretical Computer Science', 'Mathematical Theory & Analysis', 'Combinatorics', 'Algorithms', 'Python Programming', 'Computer Programming', 'Computer Science', 'Advanced Mathematics']",12,4.5,237
coursera_0264,Designing User Interfaces and Experiences (UI/UX),Computer Science,IBM,Course,beginner,1 - 4 Weeks,20,"User Centered Design, Responsive Web Design, Web Design and Development, Prototyping, Front-End Web Development, User Interface and User Experience (UI/UX) Design, Figma (Design Software), Design Elements And Principles, Wireframing, Typography, UI Components, Web Applications, Mobile Development","['User Centered Design', 'Responsive Web Design', 'Web Design and Development', 'Prototyping', 'Front-End Web Development', 'User Interface and User Experience (UI/UX) Design', 'Figma (Design Software)', 'Design Elements And Principles', 'Wireframing', 'Typography', 'UI Components', 'Web Applications', 'Mobile Development']",13,4.7,3300
coursera_0265,"Cybersecurity Compliance Framework, Standards & Regulations",Computer Science,IBM,Course,intermediate,1 - 3 Months,40,"IT Service Management, Governance Risk Management and Compliance, Information Technology Infrastructure Library, NIST 800-53, Regulatory Compliance, Auditing, Cybersecurity, Compliance Management, ISO/IEC 27001, Control Objectives for Information and Related Technology (COBIT), Artificial Intelligence, Open Web Application Security Project (OWASP), Risk Management, Payment Card Industry (PCI) Data Security Standards, General Data Protection Regulation (GDPR), Business Ethics","['IT Service Management', 'Governance Risk Management and Compliance', 'Information Technology Infrastructure Library', 'NIST 800-53', 'Regulatory Compliance', 'Auditing', 'Cybersecurity', 'Compliance Management', 'ISO/IEC 27001', 'Control Objectives for Information and Related Technology (COBIT)', 'Artificial Intelligence', 'Open Web Application Security Project (OWASP)', 'Risk Management', 'Payment Card Industry (PCI) Data Security Standards', 'General Data Protection Regulation (GDPR)', 'Business Ethics']",16,4.6,2100
